"CodigoSubregion","NombreSubregion","CodigoDepartamento","NombreDepartamento","CodigoMunicipio","NombreMunicipio"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19050","ARGELIA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19075","BALBOA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19110","BUENOS AIRES"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19130","CAJIBÍO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19137","CALDONO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19142","CALOTO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19212","CORINTO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19256","EL TAMBO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19364","JAMBALÓ"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19450","MERCADERES"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19455","MIRANDA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19473","MORALES"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19532","PATÍA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19548","PIENDAMÓ"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19698","SANTANDER DE QUILICHAO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19780","SUÁREZ"
"1","ALTO PATÍA Y NORTE DEL CAUCA","19","CAUCA","19821","TORIBIO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","52","NARIÑO","52233","CUMBITARA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","52","NARIÑO","52256","EL ROSARIO"
"1","ALTO PATÍA Y NORTE DEL CAUCA","52","NARIÑO","52405","LEIVA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","52","NARIÑO","52418","LOS ANDES"
"1","ALTO PATÍA Y NORTE DEL CAUCA","52","NARIÑO","52540","POLICARPA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","76","VALLE DEL CAUCA","76275","FLORIDA"
"1","ALTO PATÍA Y NORTE DEL CAUCA","76","VALLE DEL CAUCA","76563","PRADERA"
"2","ARAUCA","81","ARAUCA","81065","ARAUQUITA"
"2","ARAUCA","81","ARAUCA","81300","FORTUL"
"2","ARAUCA","81","ARAUCA","81736","SARAVENA"
"2","ARAUCA","81","ARAUCA","81794","TAME"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05031","AMALFI"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05040","ANORÍ"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05107","BRICEÑO"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05120","CÁCERES"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05154","CAUCASIA"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05250","EL BAGRE"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05361","ITUANGO"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05495","NECHÍ"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05604","REMEDIOS"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05736","SEGOVIA"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05790","TARAZÁ"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05854","VALDIVIA"
"3","BAJO CAUCA Y NORDESTE ANTIOQUEÑO","05","ANTIOQUIA","05895","ZARAGOZA"
"4","CATATUMBO","54","NORTE DE SANTANDER","54206","CONVENCIÓN"
"4","CATATUMBO","54","NORTE DE SANTANDER","54245","EL CARMEN"
"4","CATATUMBO","54","NORTE DE SANTANDER","54250","EL TARRA"
"4","CATATUMBO","54","NORTE DE SANTANDER","54344","HACARÍ"
"4","CATATUMBO","54","NORTE DE SANTANDER","54670","SAN CALIXTO"
"4","CATATUMBO","54","NORTE DE SANTANDER","54720","SARDINATA"
"4","CATATUMBO","54","NORTE DE SANTANDER","54800","TEORAMA"
"4","CATATUMBO","54","NORTE DE SANTANDER","54810","TIBÚ"
"5","CHOCÓ","05","ANTIOQUIA","05475","MURINDÓ"
"5","CHOCÓ","05","ANTIOQUIA","05873","VIGÍA DEL FUERTE"
"5","CHOCÓ","27","CHOCÓ","27006","ACANDÍ"
"5","CHOCÓ","27","CHOCÓ","27099","BOJAYA"
"5","CHOCÓ","27","CHOCÓ","27150","CARMEN DEL DARIEN"
"5","CHOCÓ","27","CHOCÓ","27205","CONDOTO"
"5","CHOCÓ","27","CHOCÓ","27250","EL LITORAL DEL SAN JUAN"
"5","CHOCÓ","27","CHOCÓ","27361","ISTMINA"
"5","CHOCÓ","27","CHOCÓ","27425","MEDIO ATRATO"
"5","CHOCÓ","27","CHOCÓ","27450","MEDIO SAN JUAN"
"5","CHOCÓ","27","CHOCÓ","27491","NÓVITA"
"5","CHOCÓ","27","CHOCÓ","27615","RIOSUCIO"
"5","CHOCÓ","27","CHOCÓ","27745","SIPÍ"
"5","CHOCÓ","27","CHOCÓ","27800","UNGUÍA"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18029","ALBANIA"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18094","BELÉN DE LOS ANDAQUÍES"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18150","CARTAGENA DEL CHAIRÁ"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18205","CURILLO"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18247","EL DONCELLO"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18256","EL PAUJIL"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18001","FLORENCIA"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18410","LA MONTAÑITA"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18460","MILÁN"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18479","MORELIA"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18592","PUERTO RICO"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18610","SAN JOSÉ DEL FRAGUA"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18753","SAN VICENTE DEL CAGUÁN"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18756","SOLANO"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18785","SOLITA"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","18","CAQUETÁ","18860","VALPARAÍSO"
"6","CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO","41","HUILA","41020","ALGECIRAS"
"7","MACARENA - GUAVIARE","95","GUAVIARE","95015","CALAMAR"
"7","MACARENA - GUAVIARE","95","GUAVIARE","95025","EL RETORNO"
"7","MACARENA - GUAVIARE","95","GUAVIARE","95200","MIRAFLORES"
"7","MACARENA - GUAVIARE","95","GUAVIARE","95001","SAN JOSÉ DEL GUAVIARE"
"7","MACARENA - GUAVIARE","50","META","50350","LA MACARENA"
"7","MACARENA - GUAVIARE","50","META","50325","MAPIRIPÁN"
"7","MACARENA - GUAVIARE","50","META","50330","MESETAS"
"7","MACARENA - GUAVIARE","50","META","50450","PUERTO CONCORDIA"
"7","MACARENA - GUAVIARE","50","META","50577","PUERTO LLERAS"
"7","MACARENA - GUAVIARE","50","META","50590","PUERTO RICO"
"7","MACARENA - GUAVIARE","50","META","50370","URIBE"
"7","MACARENA - GUAVIARE","50","META","50711","VISTA HERMOSA"
"8","MONTES DE MARÍA","13","BOLÍVAR","13212","CÓRDOBA"
"8","MONTES DE MARÍA","13","BOLÍVAR","13244","EL CARMEN DE BOLÍVAR"
"8","MONTES DE MARÍA","13","BOLÍVAR","13248","EL GUAMO"
"8","MONTES DE MARÍA","13","BOLÍVAR","13442","MARÍA LA BAJA"
"8","MONTES DE MARÍA","13","BOLÍVAR","13654","SAN JACINTO"
"8","MONTES DE MARÍA","13","BOLÍVAR","13657","SAN JUAN NEPOMUCENO"
